1024,8,10.4678,84.57
1024,32,5.7908,84.77
1024,64,10.6880,83.40
1024,128,10.3359,85.74
1024,256,10.5506,81.54
4096,8,32.7198,83.89
4096,32,34.5106,84.13
4096,64,36.6342,83.81
4096,128,45.9440,82.98
4096,256,34.2521,84.38
16384,8,112.0105,83.58
16384,32,162.8499,83.40
16384,64,193.7193,83.61
16384,128,153.2475,84.24
16384,256,135.5214,83.89
65536,8,327.1043,84.07
65536,32,508.0625,84.15
65536,64,496.9668,83.93
65536,128,735.8965,84.05
65536,256,699.9317,83.58
262144,8,922.6264,83.78
262144,32,1508.9335,83.74
262144,64,1546.5358,83.88
262144,128,2070.2552,83.70
262144,256,1766.2786,83.72
1048576,8,1149.4317,83.74
1048576,32,3213.8092,83.85
1048576,64,4295.1893,83.77
1048576,128,4450.3599,83.85
1048576,256,3612.7895,83.77
2097152,8,1212.6191,83.79
2097152,32,3270.7493,83.79
2097152,64,4087.0596,83.80
2097152,128,6194.3292,83.83
2097152,256,6148.4192,83.81